tweetId,tweetReply,tweetRetweet,tweetLike,tweetView,topReply,topRetweet,topLike,topView,replyReply,replyRetweet,replyLike,replyView,webAccess,webComment,webOrder,webRate,webUser,tweetFollower,tweetFollowing,userFollower,userFollowing
663f832bbb1eaba927ed8002,10,16,99,1304,1,0,0,26,0,0,0,0,0,0,0,0,0,13600,13100,3,14
663f832abb1eaba927ed7ffe,23,3,33,6175,1,0,2,90,0,0,0,0,0,0,0,0,0,32900,2,3,14
663f81ffbb1eaba927ed7fdb,24,25,99,1,5,11,41,41,0,0,0,0,0,0,0,0,0,2159,257,39,39
663f81ffbb1eaba927ed7fd7,67,1049,3166,76,2,1,7,7,0,0,0,0,0,0,0,0,0,1600000,1432,39,39
663f81ffbb1eaba927ed7fd3,24,17,35,594,1,0,1,9,0,0,0,0,0,0,0,0,0,7231,4453,39,39
663f81febb1eaba927ed7fcf,39,991,1219,11,0,0,1,1,0,0,0,0,0,0,0,0,0,1131,1094,39,39
663f81febb1eaba927ed7fcb,17,60,92,7979,37,170,467,1682584,0,0,0,0,0,0,0,0,0,4430,3114,39,39
663f81febb1eaba927ed7fc7,18,16,107,3405,26,37,563,1688077,0,0,0,0,0,0,0,0,0,34300,19200,39,39
663f7ac1bb1eaba927ed7f2a,101,71,247,14213,20,25,157,800382,0,0,0,0,0,0,0,0,0,11000,205,39,39
663f7ac0bb1eaba927ed7f26,13,6,39,1434,0,0,5,54,0,0,0,0,0,0,0,0,0,11000,205,39,39
663f7ac0bb1eaba927ed7f22,31,28,93,6721,2,0,7,224,0,0,0,0,0,0,0,0,0,11000,205,39,39
663f7909bb1eaba927ed7ef3,20,41,143,8695,1,0,1,28,0,0,0,0,0,0,0,0,0,17900,2195,39,39
663f7909bb1eaba927ed7eef,38,39,178,2109,1,0,3,22,0,0,0,0,0,0,0,0,0,10200,8943,39,39
663f7908bb1eaba927ed7ee1,18,57,305,8,5,24,224,224,0,0,0,0,0,0,0,0,0,63300,887,39,39
663f7908bb1eaba927ed7ed6,240,673,2440,101346,6,22,110,2190,0,0,0,0,0,0,0,0,0,30100,14900,39,39
663e6cedd2b04cb60c80b590,41,51,333,17185,2,4,68,1576,0,0,0,0,0,0,0,0,0,42000,268,39,39
663e6cedd2b04cb60c80b58c,18,63,237,6927,1,0,4,96,0,0,0,0,0,0,0,0,0,26900,3304,39,39
663e6cedd2b04cb60c80b588,37,13,87,3363,0,0,8,159,0,0,0,0,0,0,0,0,0,2432,1695,39,39
663e6cedd2b04cb60c80b584,18,134,588,6031,0,1,5,267,0,0,0,0,0,0,0,0,0,2584,288,39,39
663e6cedd2b04cb60c80b580,149,163,374,14746,0,1,8,152,0,0,0,0,0,0,0,0,0,4670,3071,39,39
663e6cedd2b04cb60c80b57c,33,10,164,3199,1,0,8,107,0,0,0,0,0,0,0,0,0,6140,2148,39,39
663e6cecd2b04cb60c80b578,75,23,113,1514,1,0,1,3,0,0,0,0,0,0,0,0,0,3605,1012,39,39
663e6cecd2b04cb60c80b574,154,3454,67147,2586878,7,115,2130,116902,0,0,0,0,0,0,0,0,0,14500,573,39,39
663e6cecd2b04cb60c80b56d,46,57,135,3547,1,2,11,256,0,0,0,0,0,0,0,0,0,10400,2413,39,39
663e6cecd2b04cb60c80b569,14,9,34,1132,1,0,1,8,0,0,0,0,0,0,0,0,0,9786,3169,39,39
663e6cecd2b04cb60c80b565,22,50,92,10117,2,0,28,759,0,0,0,0,0,0,0,0,0,20300,1929,39,39
663e6cebd2b04cb60c80b561,21,13,66,4936,20,5,26,3822,0,0,0,0,0,0,0,0,0,5156,3829,39,39
663e6cebd2b04cb60c80b55d,14,2,16,219,1,0,1,10,0,0,0,0,0,0,0,0,0,490,794,39,39
663e6cead2b04cb60c80b54f,14,8,30,2244,1,0,8,909,0,0,0,0,0,0,0,0,0,3663,2423,39,39
663e6b0ad2b04cb60c80b509,74,12,117,1592,1,0,1,36,0,0,0,0,0,0,0,0,0,7321,2306,39,39
663e6b0ad2b04cb60c80b505,10,96,115,3174,0,0,4,35,0,0,0,0,0,0,0,0,0,6605,4365,39,39
663e6b0ad2b04cb60c80b501,57,5946,44646,540404,1,1,504,6371,0,0,0,0,0,0,0,0,0,114300,1080,39,39
663e6b0ad2b04cb60c80b4fd,397,981,8726,100225,2,4,79,1113,0,0,0,0,0,0,0,0,0,134600,973,39,39
663e6b09d2b04cb60c80b4f9,21,15,21,3680,1,1,2,266,0,0,0,0,0,0,0,0,0,1373,645,39,39
663e6b09d2b04cb60c80b4f5,36,128,524,13896,0,1,6,215,0,0,0,0,0,0,0,0,0,54600,8,39,39
663e6b09d2b04cb60c80b4f1,77,79,85,1248,0,0,2,5,0,0,0,0,0,0,0,0,0,837,180,39,39
663e6b09d2b04cb60c80b4ed,141,95,367,22048,0,0,1,7,0,0,0,0,0,0,0,0,0,137400,412,39,39
663e6b09d2b04cb60c80b4e6,10,15,30,278,1,0,1,6,0,0,0,0,0,0,0,0,0,5274,3950,39,39
663e6b08d2b04cb60c80b4e2,14,7,21,231,0,0,1,2,0,0,0,0,0,0,0,0,0,1107,1211,39,39
663e6b08d2b04cb60c80b4de,24,14,49,758,1,0,1,13,0,0,0,0,0,0,0,0,0,5839,1993,39,39
663e6b08d2b04cb60c80b4da,13,7,21,250,0,0,2,16,0,0,0,0,0,0,0,0,0,1107,1211,39,39
663e6b08d2b04cb60c80b4d0,50,18,101,3595,1,0,4,58,0,0,0,0,0,0,0,0,0,936,1698,39,39
663e6942d2b04cb60c80b485,11,17,78,14137,8,0,7,1656,0,0,0,0,0,0,0,0,0,3.037,281,3,14
663e6942d2b04cb60c80b481,26,15,35,2009,0,1,10,33771,0,0,0,0,0,0,0,0,0,4.521,2.686,3,14
663e6942d2b04cb60c80b47d,130,132,74,14593,26,143,376,1374663,0,0,0,0,0,0,0,0,0,5.021,2.146,3,14
663e6942d2b04cb60c80b479,11,22,518,27335,0,4,417,9731,0,0,0,0,0,0,0,0,0,38,525,3,14
663e6942d2b04cb60c80b475,13,16,117,16544,172,246,2817,4680978,0,0,0,0,0,0,0,0,0,808,309,3,14
663e6942d2b04cb60c80b471,168,180,112,25755,0,0,1,86,0,0,0,0,0,0,0,0,0,2.101,603,3,14
663e6941d2b04cb60c80b46d,15,47,674,25674,0,0,1,33,0,0,0,0,0,0,0,0,0,38,525,3,14
663e6941d2b04cb60c80b469,33,47,238,4,5,9,55,2,0,0,0,0,0,0,0,0,0,33,556,3,14
663e6941d2b04cb60c80b459,14,0,17,410,7,111,82,288681,0,0,0,0,0,0,0,0,0,622,1.441,3,14
663e6940d2b04cb60c80b455,15,0,18,361,17,38,430,719729,0,0,0,0,0,0,0,0,0,1.858,2.034,3,14
663e6940d2b04cb60c80b44e,21,83,1079,1079,17,38,430,719729,0,0,0,0,0,0,0,0,0,37,23,3,14
663e6940d2b04cb60c80b447,17,1,10,501,275,30,1177,1623974,0,0,0,0,0,0,0,0,0,2.511,2.143,3,14
663e658cd2b04cb60c80b3b8,40,108,192,36399,1,0,1,292,0,0,0,0,0,0,0,0,0,2682,68,3,14
663e658cd2b04cb60c80b3b4,30,26,43,2862,1,0,1,34,0,0,0,0,0,0,0,0,0,3768,246,3,14
663e658bd2b04cb60c80b3b0,22,13,43,11350,0,0,1,46,0,0,0,0,0,0,0,0,0,377500,21,3,14
663e658bd2b04cb60c80b3ac,16,31,125,5640,1,0,2,116,0,0,0,0,0,0,0,0,0,110,311,3,14
663e658bd2b04cb60c80b3a8,11,32,130,19102,0,0,1,69,0,0,0,0,0,0,0,0,0,20100,60,3,14
663e658ad2b04cb60c80b3a4,13,3,27,528,1,2,4,11,0,0,0,0,0,0,0,0,0,2923,2188,3,14
663e658ad2b04cb60c80b3a0,119,110,266,8252,1,0,0,70,0,0,0,0,0,0,0,0,0,43600,706,3,14
663e658ad2b04cb60c80b39c,15,15,43,3866,0,0,8,373,0,0,0,0,0,0,0,0,0,21100,300,3,14
663e6589d2b04cb60c80b398,72,44,68,991,0,1,1,8,0,0,0,0,0,0,0,0,0,84900,30500,3,14
663e6588d2b04cb60c80b38e,31,17,32,387,1,1,0,35,0,0,0,0,0,0,0,0,0,84900,30500,3,14
663e6588d2b04cb60c80b38a,67,21,22,51621,1,12,169,1255,0,0,0,0,0,0,0,0,0,1400000,541,3,14
663e6587d2b04cb60c80b386,55,165,432,12178,2,4,22,260,0,0,0,0,0,0,0,0,0,92700,1891,3,14
663e6587d2b04cb60c80b382,24,17,168,7439,3,4,33,491,0,0,0,0,0,0,0,0,0,2354,1450,3,14
663e6586d2b04cb60c80b37b,76,24,98,19025,0,0,2,297,0,0,0,0,0,0,0,0,0,6008,605,3,14
663e6586d2b04cb60c80b374,11,1,2,760,0,0,0,20,0,0,0,0,0,0,0,0,0,35,44,3,14
663e648bd2b04cb60c80b36f,39,403,4312,118293,1,0,11,1966,0,0,0,0,0,0,0,0,0,20500,119,39,39
663e648ad2b04cb60c80b36b,19,110,382,4783,0,0,1,20,0,0,0,0,0,0,0,0,0,1481,424,39,39
663e6489d2b04cb60c80b35e,42,70,164,18853,0,0,4,160,0,0,0,0,0,0,0,0,0,6726,256,39,39
663e6489d2b04cb60c80b35a,13,5,22,467,1,0,1,17,0,0,0,0,0,0,0,0,0,503,414,39,39
663e6488d2b04cb60c80b353,34,47,112,1527,2,2,5,70,0,0,0,0,0,0,0,0,0,2010,1343,39,39
663dda878a8c08fdc36bde91,71,139,952,34399,2,1,11,1055,0,0,0,0,0,0,0,0,0,43600,679,3,14
663dda878a8c08fdc36bde8a,65,62,60,2070,1,0,2,85,0,0,0,0,0,0,0,0,0,1379,1358,3,14
663dda868a8c08fdc36bde86,28,20,254,27654,1,0,4,219,0,0,0,0,0,0,0,0,0,259,266,3,14
663dda868a8c08fdc36bde82,15,14,245,9403,1,0,2,97,0,0,0,0,0,0,0,0,0,106000,6583,3,14
663dda858a8c08fdc36bde75,17,60,130,31658,0,0,3,2415,0,0,0,0,0,0,0,0,0,6474,20,3,14
